"","RINGS","AROMATIC","RNH2","R2NH","R3N","ROPO3","ROH","RCHO","RCOR","RCOOH","RCOOR","ROR","RCCH","RCN","MF","MW","C","Cl","H","N","O","S","F","Br","B","P","I","Si"
"CHEMBL1650443",3,2,1,0,3,0,0,0,0,0,0,0,0,1,"C18H21FN5O2",358.3900432,18,0,21,5,2,0,1,0,0,0,0,0
"CHEMBL3813842",5,3,0,0,2,0,0,0,0,0,0,2,0,0,"C18H22N8O2",382.41968,18,0,22,8,2,0,0,0,0,0,0,0
"CHEMBL286738",2,2,0,0,0,0,0,0,0,0,1,0,0,0,"C14H15NO5S",309.3376,14,0,15,1,5,1,0,0,0,0,0,0
"CHEMBL334830",4,2,0,1,2,0,0,0,0,0,0,0,0,0,"C17H11BrFN3O4",420.1893432,17,0,11,3,4,0,1,1,0,0,0,0
"CHEMBL4297289",5,3,0,2,2,0,0,0,0,0,0,0,0,0,"C28H36FN7O2",521.6295432,28,0,36,7,2,0,1,0,0,0,0,0
"CHEMBL1241855",2,2,0,1,0,0,0,0,0,1,0,4,0,0,"C21H24NO8S",450.48216,21,0,24,1,8,1,0,0,0,0,0,0
"CHEMBL5095404",4,3,0,1,1,0,1,0,0,0,1,1,0,0,"C24H34FN7O7P",582.5416252,24,0,34,7,7,0,1,0,0,1,0,0
"CHEMBL3545366",3,3,0,0,1,0,0,0,0,0,0,0,0,0,"C13H14N6O",270.28986,13,0,14,6,1,0,0,0,0,0,0,0
"CHEMBL5314608",4,2,0,3,0,0,0,0,0,0,0,0,0,0,"C18H20N6O4S",416.4542,18,0,20,6,4,1,0,0,0,0,0,0
"CHEMBL2207503",5,4,0,1,2,0,0,0,0,0,0,0,0,0,"C22H24Cl2N7",457.37886,22,2,24,7,0,0,0,0,0,0,0,0
"CHEMBL1201174",3,2,1,0,2,0,0,0,0,0,0,0,0,0,"C16H16F6N5O",408.3215592,16,0,16,5,1,0,6,0,0,0,0,0
"CHEMBL2105717",5,4,0,2,0,0,0,0,0,0,0,3,0,0,"C28H24FN3O5",501.5056632,28,0,24,3,5,0,1,0,0,0,0,0
"CHEMBL3989958",5,3,0,1,2,0,0,0,0,0,0,0,0,1,"C28H22ClF3N6O3",582.9608896,28,1,22,6,3,0,3,0,0,0,0,0
"CHEMBL5314474",1,1,0,0,1,0,0,0,0,0,0,1,0,1,"C14H15F2N3O2",295.2846064,14,0,15,3,2,0,2,0,0,0,0,0
"CHEMBL4297604",7,4,0,0,2,0,0,0,0,1,0,2,0,0,"C29H27N3O4",481.54238,29,0,27,3,4,0,0,0,0,0,0,0
"CHEMBL2180602",4,2,0,3,1,0,0,0,0,0,0,0,0,0,"C24H30FN4O2",425.5190032,24,0,30,4,2,0,1,0,0,0,0,0
"CHEMBL4297587",4,2,0,3,2,0,0,0,0,0,0,0,0,0,"C23H26FN5O3",439.4826432,23,0,26,5,3,0,1,0,0,0,0,0
"CHEMBL4802135",4,0,0,3,1,0,0,0,0,0,0,0,0,1,"C23H32F3N5O4",499.5264896,23,0,32,5,4,0,3,0,0,0,0,0
"CHEMBL3545185",3,3,0,1,0,0,0,0,0,0,0,0,0,0,"C17H11F6N7O",443.3059592,17,0,11,7,1,0,6,0,0,0,0,0
"CHEMBL1200969",5,1,0,2,0,0,0,0,0,0,0,0,0,0,"C27H30F6N2O2",528.5297192,27,0,30,2,2,0,6,0,0,0,0,0
"CHEMBL3137301",2,2,0,1,0,0,0,0,0,1,1,0,0,0,"C24H28NO5",410.48282,24,0,28,1,5,0,0,0,0,0,0,0
"CHEMBL6068335",3,3,0,3,0,0,0,0,0,2,0,0,0,0,"C20H19N5O6",425.39476,20,0,19,5,6,0,0,0,0,0,0,0
"CHEMBL5314533",4,2,0,0,1,0,0,0,1,0,0,2,0,0,"C21H26N2O5S",418.50654,21,0,26,2,5,1,0,0,0,0,0,0
"CHEMBL211471",1,1,0,0,1,0,0,0,0,0,1,0,0,0,"C12H19N2O2",223.29146,12,0,19,2,2,0,0,0,0,0,0,0
"CHEMBL6067682",5,4,0,1,1,0,0,0,0,0,0,2,0,0,"C22H18FN5O2",403.4090232,22,0,18,5,2,0,1,0,0,0,0,0
"CHEMBL5314512",5,3,0,0,1,0,0,0,0,0,0,1,0,1,"C23H22ClN7O2",463.91948,23,1,22,7,2,0,0,0,0,0,0,0
"CHEMBL2303621",6,4,0,4,2,0,0,0,0,0,2,0,0,0,"C40H50N8O6",738.875,40,0,50,8,6,0,0,0,0,0,0,0
"CHEMBL3894860",6,3,0,2,3,0,0,0,0,0,0,0,0,0,"C24H31N8O",447.55594,24,0,31,8,1,0,0,0,0,0,0,0
"CHEMBL5314430",4,3,0,1,1,0,0,0,0,0,0,1,0,0,"C20H20ClN6O",395.8654,20,1,20,6,1,0,0,0,0,0,0,0
"CHEMBL1201066",2,1,0,0,1,0,1,0,0,0,0,1,0,0,"C17H28NO2",278.40972,17,0,28,1,2,0,0,0,0,0,0,0
"CHEMBL710",4,0,0,2,0,0,0,0,0,0,0,0,0,0,"C23H36N2O2",372.54414,23,0,36,2,2,0,0,0,0,0,0,0
"CHEMBL3989920",4,3,0,0,0,0,2,0,0,1,0,0,0,0,"C25H23FNO4",420.4528232,25,0,23,1,4,0,1,0,0,0,0,0
"CHEMBL3643413",4,2,0,1,2,0,0,0,0,0,0,1,0,0,"C21H25F3N6O2",450.4574096,21,0,25,6,2,0,3,0,0,0,0,0
"CHEMBL3544978",6,2,0,2,2,0,0,0,0,0,1,1,0,0,"C22H22FN5O7",487.4377832,22,0,22,5,7,0,1,0,0,0,0,0
"CHEMBL4206119",3,2,0,0,2,0,0,0,0,0,1,0,0,0,"C32H47N5O6S",629.81048,32,0,47,5,6,1,0,0,0,0,0,0
"CHEMBL939",4,3,0,1,1,0,0,0,0,0,0,3,0,0,"C22H25ClFN4O3",447.9103032,22,1,25,4,3,0,1,0,0,0,0,0
"CHEMBL4297421",4,4,0,1,0,0,4,0,0,0,0,0,0,0,"C22H16N2O5S",420.43784,22,0,16,2,5,1,0,0,0,0,0,0
"CHEMBL114",5,3,0,3,1,0,1,0,0,0,0,0,0,0,"C38H51N6O5",671.84874,38,0,51,6,5,0,0,0,0,0,0,0
"CHEMBL2105987",4,0,0,0,0,0,0,0,2,0,0,0,0,0,"C20H26O2",298.41924,20,0,26,0,2,0,0,0,0,0,0,0
"CHEMBL5095209",4,4,0,18,0,0,2,0,0,1,0,0,0,0,"C95H139N20O23",1929.24036,95,0,139,20,23,0,0,0,0,0,0,0
"CHEMBL5314583",3,1,0,1,1,0,0,0,0,1,0,0,0,0,"C19H25N4O4",373.4262,19,0,25,4,4,0,0,0,0,0,0,0
"CHEMBL812",1,1,0,0,1,0,0,0,0,0,1,0,0,0,"C9H13N2O2",181.21172,9,0,13,2,2,0,0,0,0,0,0,0
"CHEMBL1091644",6,5,0,0,1,0,1,0,0,0,0,0,0,0,"C26H24N5O",422.50166,26,0,24,5,1,0,0,0,0,0,0,0
"CHEMBL4594253",4,2,1,2,0,0,0,0,0,0,0,0,0,0,"C17H22FN6O",345.3945832,17,0,22,6,1,0,1,0,0,0,0,0
"CHEMBL562318",5,5,0,0,0,0,0,0,0,0,0,1,0,0,"C25H20N4O",392.4525,25,0,20,4,1,0,0,0,0,0,0,0
"CHEMBL304087",4,3,0,3,0,0,0,0,0,0,1,3,0,0,"C23H24N4O6",452.45986,23,0,24,4,6,0,0,0,0,0,0,0
"CHEMBL5314572",6,4,0,1,2,0,1,0,0,0,0,3,0,0,"C24H25N7O5",491.4992,24,0,25,7,5,0,0,0,0,0,0,0
"CHEMBL126648",4,4,0,2,1,0,0,0,0,1,0,0,1,0,"C26H23FN8O4",530.5104232,26,0,23,8,4,0,1,0,0,0,0,0
"CHEMBL6068542",4,3,0,2,1,0,6,0,0,0,0,1,0,0,"C44H60FN3O10",809.9597032,44,0,60,3,10,0,1,0,0,0,0,0
"CHEMBL760",3,1,0,1,1,0,0,0,0,0,0,0,0,0,"C10H7Cl2N3O",256.08808,10,2,7,3,1,0,0,0,0,0,0,0
"CHEMBL5083170",4,3,0,3,0,0,1,0,0,0,0,0,0,0,"C21H18F3N3O3",417.3811296,21,0,18,3,3,0,3,0,0,0,0,0
"CHEMBL4468777",4,3,0,0,2,0,0,0,0,0,0,1,0,0,"C19H23N8O",379.43892,19,0,23,8,1,0,0,0,0,0,0,0
"CHEMBL4594293",5,4,0,1,2,0,0,0,0,0,0,0,1,0,"C26H24N7O2",466.51446,26,0,24,7,2,0,0,0,0,0,0,0
"CHEMBL1092581",4,3,0,1,0,0,1,0,0,0,0,1,0,0,"C22H23FN2O5S",446.4918232,22,0,23,2,5,1,1,0,0,0,0,0
"CHEMBL4116649",3,2,1,0,1,0,1,0,0,0,0,1,0,0,"C18H18F4N3O3",400.3474328,18,0,18,3,3,0,4,0,0,0,0,0
"CHEMBL5095412",4,2,0,1,2,0,0,0,0,0,1,0,0,0,"C20H24N3O2",338.42346,20,0,24,3,2,0,0,0,0,0,0,0
"CHEMBL5314498",6,5,0,2,2,0,0,0,0,0,0,1,0,0,"C29H29N9O2",535.59966,29,0,29,9,2,0,0,0,0,0,0,0
"CHEMBL5095229",4,4,0,2,0,0,0,0,0,0,0,0,0,0,"C19H17N5O",331.37118,19,0,17,5,1,0,0,0,0,0,0,0
"CHEMBL584",4,2,0,2,1,0,2,0,0,0,0,0,0,0,"C32H46N3O4S",568.79034,32,0,46,3,4,1,0,0,0,0,0,0
"CHEMBL1084617",4,3,0,1,1,0,0,0,0,0,0,3,0,0,"C24H29N4O4",437.51146,24,0,29,4,4,0,0,0,0,0,0,0
"CHEMBL220491",2,1,0,1,0,0,0,0,0,0,0,1,0,0,"C12H22N3O5S3",384.51518,12,0,22,3,5,3,0,0,0,0,0,0
"CHEMBL6068343",3,2,0,0,1,0,0,0,0,0,1,0,0,0,"C16H16ClNO2S",321.82174,16,1,16,1,2,1,0,0,0,0,0,0
"CHEMBL5314535",4,3,0,1,1,0,0,0,0,0,0,1,0,0,"C22H24N6O3",420.46436,22,0,24,6,3,0,0,0,0,0,0,0
"CHEMBL3989715",2,0,0,0,0,0,3,0,0,1,1,2,0,0,"C26H43O9",499.61422,26,0,43,0,9,0,0,0,0,0,0,0
"CHEMBL5095220",4,3,0,2,2,0,0,0,0,0,0,0,0,0,"C22H27N6O2",407.48878,22,0,27,6,2,0,0,0,0,0,0,0
"CHEMBL552212",3,3,0,3,0,0,0,0,0,0,0,1,0,0,"C24H30N6O2",434.534,24,0,30,6,2,0,0,0,0,0,0,0
"CHEMBL4651180",4,3,1,0,2,0,0,0,0,0,0,1,0,1,"C24H24F2N5O2",452.4764664,24,0,24,5,2,0,2,0,0,0,0,0
"CHEMBL5754780",10,4,0,2,2,0,1,0,0,0,0,1,0,0,"C47H57F2N7O7S",902.0599864,47,0,57,7,7,1,2,0,0,0,0,0
"CHEMBL1324",2,2,0,0,0,0,2,0,1,0,0,0,0,0,"C14H10NO5",272.2329,14,0,10,1,5,0,0,0,0,0,0,0
"CHEMBL2103851",6,4,0,1,2,0,0,0,0,0,0,3,0,0,"C23H21N5O3S",447.50954,23,0,21,5,3,1,0,0,0,0,0,0
"CHEMBL4438269",3,3,0,1,0,0,0,0,0,0,0,1,0,1,"C21H13BrCl2FN3O4S",573.2190232,21,2,13,3,4,1,1,1,0,0,0,0
"CHEMBL3935857",5,4,0,0,2,0,0,0,0,0,0,2,0,0,"C19H18N5O3",364.37792,19,0,18,5,3,0,0,0,0,0,0,0
"CHEMBL502",4,2,0,0,1,0,0,0,1,0,0,2,0,0,"C24H30NO3",380.4999,24,0,30,1,3,0,0,0,0,0,0,0
"CHEMBL444172",6,4,0,0,2,0,1,0,0,0,0,1,0,0,"C32H32F2N3O2",528.6121864,32,0,32,3,2,0,2,0,0,0,0,0
"CHEMBL3911164",2,2,0,2,0,0,0,0,0,0,0,0,0,0,"C26H25F7N4O3",574.4905224,26,0,25,4,3,0,7,0,0,0,0,0
"CHEMBL5095401",4,3,0,1,1,0,0,0,0,1,0,2,0,0,"C25H30N2O4",422.5167,25,0,30,2,4,0,0,0,0,0,0,0
"CHEMBL261244",5,3,0,2,1,1,0,0,0,0,0,3,0,0,"C22H24N6O8P",531.435122,22,0,24,6,8,0,0,0,0,1,0,0
"CHEMBL2105729",4,4,0,0,0,0,0,0,0,0,0,0,0,0,"C23H20F3N5O2S2",519.5624096,23,0,20,5,2,2,3,0,0,0,0,0
